study;ID;ID_study;mean_age_days;age_group;year;published;H_Lab;nationality;scenarios;stimuli;stimuli_2;question;measure;choice_object;xi;ni;s;x1;x2;t
Sitch_unpub;59;1;239;young;2018;no;yes;North_America;help_hinder;live_show;real;Who do you like;reach;puppets;68;115;;;;
Beaulieu_Dunfield_unpub;60;1;791;old;2020;no;no;North_America;help_hinder;live_show;real;No;help;experimenters;14;19;;;;
Beaulieu_Dunfield_unpub;60;2;981;old;2020;no;no;North_America;help_hinder;live_show;real;No;help;experimenters;8;11;;;;
Yuen_Hamlin_unpub;61;1;316;young;2021;no;yes;North_America;help_hinder;movies;cartoon;Who do you like;visual;shapes;18;34;0.538;;;
Yuen_Hamlin_unpub;61;2;263;young;2021;no;yes;North_America;help_hinder;movies;cartoon;Who do you like;visual;shapes;19;32;0.508;;;
Yuen_Hamlin_unpub;61;3;306;young;2021;no;yes;North_America;help_hinder;movies;cartoon;Who do you like;visual;shapes;14;32;0.475;;;
Yuen_et_al_unpub;62;1;512;old;2023;no;yes;North_America;fair_unfair;movies;real;No;reach;experimenters;18;31;;;;
Woo_et_al_unpub;63;1;357;young;2024;no;yes;North_America;give_take;movies;real;Who do you like;visual;puppets;22;24;;10.06;6.58;5.15
Hamlin_2025_unpub;64;1;108;young;2025;no;yes;North_America;help_hinder;live_show;cartoon;No;visual;shapes;209;442;;;;
Hamlin_2025_unpub;64;2;176;young;2025;no;yes;North_America;help_hinder;live_show;real;Who do you like;reach;puppets;170;355;;;;
Hamlin_2025_unpub;64;3;302;young;2025;no;yes;North_America;help_hinder;live_show;real;Who do you like;reach;puppets;176;353;;;;
Hamlin_2025_unpub;64;4;731;old;2025;no;yes;North_America;help_hinder;live_show;real;Other;help;puppets;107;214;;;;
