study,ID,ID_study,ppt_grp,mean_age_days,age_group,year,published,H_Lab,H_Lab_narrow,nationality,scenarios,stimuli,stimuli_2,question,measure,choice_object,xi,ni,s,x1,x2,t
Schlingloff_et_al_2020,33,1,Main,455,old,2020,yes,no,no,Europe,help_hinder,movies,cartoon,Who do you like,reach,shapes,16,32,,,,
Singh_2020,34,1,Phase 1 Monolingual,233,young,2020,yes,no,no,Asia,give_take,live_show,real,Who do you like,visual,puppets,,36,,1.11,1.45,-0.24
Singh_2020,34,2,Phase 1 Bilingual,234,young,2020,yes,no,no,Asia,give_take,live_show,real,Who do you like,visual,puppets,,36,,1.7,1.24,2.64
Surian_Margoni_2020,35,1,Expt 1,624,old,2020,yes,no,no,Europe,fair_unfair,movies,real,Who do you like,reach,puppets,4,9,,,,
Surian_Margoni_2020,35,2,Expt 3,639,old,2020,yes,no,no,Europe,fair_unfair,movies,real,Who do you like,reach,puppets,6,11,,,,
Surian_Margoni_2020,35,3,Expt 4,620,old,2020,yes,no,no,Europe,fair_unfair,movies,real,Who do you like,reach,puppets,5,11,,,,
Vaporova_Zmyj_2020,36,1,Expt 1 9mo,275,young,2020,yes,no,no,Europe,help_hinder,movies,real,Who do you like,reach,puppets,10,23,,,,
Vaporova_Zmyj_2020,36,2,Expt 1 14mo,422,old,2020,yes,no,no,Europe,help_hinder,movies,real,Who do you like,reach,puppets,13,29,,,,
LoheideNiesmann_et_al_2021,37,1,Main,732,old,2021,yes,no,no,Europe,help_hinder,live_show,real,Other,reach,puppets,65,107,,,,
Geraci_Simion_2022,38,1,Expt 1,515,old,2022,yes,no,no,Europe,other,movies,cartoon,Other,reach,shapes,15,18,,,,
Geraci_et_al_2022,39,1,Expt 1,264,young,2022,yes,no,no,Europe,fair_unfair,movies,cartoon,NA,reach,shapes,18,27,,,,
Geraci_et_al_2022,39,2,Expt 1,264,young,2022,yes,no,no,Europe,fair_unfair,movies,cartoon,NA,visual,shapes,,27,,7.24,6.7,0.73
Tan_Hamlin_2022a,40,1,6mo,184,young,2022,yes,yes,yes,North_America,help_hinder,movies,cartoon,Other,reach,shapes,15,38,,,,
Tan_Hamlin_2022a,40,2,12mo,359,young,2022,yes,yes,yes,North_America,help_hinder,movies,cartoon,Other,reach,shapes,11,24,,,,
Tan_Hamlin_2022b,41,1,Main,154,young,2022,yes,yes,yes,North_America,help_hinder,movies,cartoon,No,visual,shapes,17,34,,,,0.8
Biro_2023,42,1,Expt 1,361,young,2023,yes,no,no,Europe,other,movies,cartoon,Who do you like,reach,shapes,32,47,,,,
Geraci_et_al_2023,43,1,Expt 1,213,young,2023,yes,no,no,Europe,other,movies,cartoon,NA,reach,shapes,15,19,,,,
Geraci_et_al_2023,43,2,Expt 1,213,young,2023,yes,no,no,Europe,other,movies,cartoon,NA,visual,shapes,,24,,,,0.3168811
Geraci_Surian_2023,44,1,Expt 4,123,young,2023,yes,no,no,Europe,fair_unfair,movies,cartoon,No,visual,shapes,,28,,18.09,12.3,2.25
Licht_et_al_2023,45,1,Main,169,young,2023,yes,no,no,Europe,help_hinder,movies,real,Other,reach,puppets,10,21,,,,
Woo_Spelke_2023a,46,1,Expt 1 True Belief,452,old,2023,yes,no,no,North_America,help_hinder,movies,real,Who do you like,reach,puppets,17,22,,,,
Woo_Spelke_2023a,46,2,Expt 1 False Belief,452,old,2023,yes,no,no,North_America,help_hinder,movies,real,Who do you like,reach,puppets,19,24,,,,
Woo_Spelke_2023a,46,3,Expt 2 True Belief,447,old,2023,yes,no,no,North_America,help_hinder,movies,real,Who do you like,visual,puppets,18,24,0.582,,,2.71
Woo_Spelke_2023a,46,4,Expt 2 False Belief,447,old,2023,yes,no,no,North_America,help_hinder,movies,real,Who do you like,visual,puppets,18,24,0.57,,,2.36
Woo_Spelke_2023a,46,5,Expt 3 False Belief,447,old,2023,yes,no,no,North_America,help_hinder,movies,real,Who do you like,visual,puppets,20,24,0.584,,,3.43
Woo_Spelke_2023b,47,1,Expt 1 8mo,236,young,2023,yes,no,no,North_America,help_hinder,movies,real,Who do you like,reach,puppets,4,24,,,,
Woo_Spelke_2023b,47,2,Expt 1 15mo,452,old,2023,yes,no,no,North_America,help_hinder,movies,real,Who do you like,reach,puppets,21,24,,,,
